location_id,location_name,location_type,total_cases
21239,"Woodford, Kentucky",county,3
22071,"Region 1, Louisiana",county,3
44007,"Providence, Rhode Island",county,3
46011,"Brookings, South Dakota",county,3
26121,"Muskegon, Michigan",county,3
00034,"Unknown County, New Jersey",county,3
02020,"Anchorage, Alaska",county,3
34017,"Hudson, New Jersey",county,3
48003,"Andrews, Texas",county,3
12071,"Lee, Florida",county,3
12057,"Hillsborough, Florida",county,3
53063,"Spokane, Washington",county,2
00000,"Eastern Region, Virginia",county,2
53073,"Whatcom, Washington",county,2
12086,"Miami-Dade, Florida",county,2
12073,"Leon, Florida",county,2
00000,"Nashville-Davidson County Region, Tennessee",county,2
48163,"Frio, Texas",county,2
16055,"Kootenai, Idaho",county,2
48305,"Lynn, Texas",county,2
21111,"Jefferson, Kentucky",county,2
18089,"Lake, Indiana",county,2
26125,"Oakland, Michigan",county,2
30029,"Flathead, Montana",county,2
48133,"Eastland, Texas",county,2
48121,"Denton, Texas",county,2
27053,"Hennepin, Minnesota",county,2
06107,"Tulare, California",county,2
24033,"Prince George's, Maryland",county,2
26103,"Marquette, Michigan",county,2
48169,"Garza, Texas",county,2
35023,"Hidalgo, New Mexico",county,2
37025,"Cabarrus, North Carolina",county,2
37179,"Union, North Carolina",county,2
46103,"Pennington, South Dakota",county,2
46093,"Meade, South Dakota",county,2
06109,"Tuolumne, California",county,2
48017,"Bailey, Texas",county,2
45081,"Saluda, South Carolina",county,2
42101,"Philadelphia, Pennsylvania",county,2
42041,"Cumberland, Pennsylvania",county,2
42043,"Dauphin, Pennsylvania",county,2
41043,"Linn, Oregon",county,2
41005,"Clackamas, Oregon",county,2
36029,"Erie, New York",county,2
06019,"Fresno, California",county,2
49057,"Weber-Morgan, Utah",county,2
48389,"Reeves, Texas",county,2
11001,"Washington, District of Columbia",county,2
12001,"Alachua, Florida",county,2
09003,"Hartford, Connecticut",county,2
00024,"Southern Maryland, Maryland",county,2
00016,"Unknown County, Idaho",county,2
53025,"Grant, Washington",county,2
50015,"Lamoille, Vermont",county,1
50023,"Washington, Vermont",county,1
00024,"National Capital Region, Maryland",county,1
00021,"Unknown County, Kentucky",county,1
00019,"Western, Iowa",county,1
00017,"Metro East , Illinois",county,1
00013,"Coastal Health District, Georgia",county,1
00001,"North, Alabama",county,1
00025,"Unknown County, Massachusetts",county,1
09170,"South Central Connecticut, Connecticut",county,1
08109,"Saguache, Colorado",county,1
08101,"Pueblo, Colorado",county,1
55133,"Waukesha, Wisconsin",county,1
55025,"Dane, Wisconsin",county,1
38025,"Dunn, North Dakota",county,1
38013,"Burke, North Dakota",county,1
42017,"Bucks, Pennsylvania",county,1
42009,"Bedford, Pennsylvania",county,1
06079,"San Luis Obispo, California",county,1
06075,"San Francisco, California",county,1
06073,"San Diego, California",county,1
06055,"Napa, California",county,1
36069,"Ontario, New York",county,1
05007,"Benton, Arkansas",county,1
04025,"Yavapai, Arizona",county,1
41051,"Multnomah, Oregon",county,1
39123,"Ottawa, Ohio",county,1
39075,"Holmes, Ohio",county,1
39039,"Defiance, Ohio",county,1
39003,"Allen, Ohio",county,1
38099,"Walsh, North Dakota",county,1
38097,"Traill, North Dakota",county,1
06013,"Contra Costa, California",county,1
05125,"Saline, Arkansas",county,1
46013,"Brown, South Dakota",county,1
45049,"Hampton, South Carolina",county,1
45013,"Beaufort, South Carolina",county,1
42109,"Snyder, Pennsylvania",county,1
42099,"Perry, Pennsylvania",county,1
32003,"Clark, Nevada",county,1
31161,"Sheridan, Nebraska",county,1
31141,"Platte, Nebraska",county,1
37161,"Rutherford, North Carolina",county,1
37127,"Nash, North Carolina",county,1
37109,"Lincoln, North Carolina",county,1
37101,"Johnston, North Carolina",county,1
37081,"Guilford, North Carolina",county,1
37023,"Burke, North Carolina",county,1
36103,"Suffolk, New York",county,1
36079,"Putnam, New York",county,1
42087,"Mifflin, Pennsylvania",county,1
48065,"Carson, Texas",county,1
48049,"Brown, Texas",county,1
48043,"Brewster, Texas",county,1
48039,"Brazoria, Texas",county,1
48033,"Borden, Texas",county,1
48027,"Bell, Texas",county,1
48013,"Atascosa, Texas",county,1
06113,"Yolo, California",county,1
35045,"San Juan, New Mexico",county,1
35009,"Curry, New Mexico",county,1
35005,"Chaves, New Mexico",county,1
34031,"Passaic, New Jersey",county,1
34029,"Ocean, New Jersey",county,1
32031,"Washoe, Nevada",county,1
31109,"Lancaster, Nebraska",county,1
08069,"Larimer, Colorado",county,1
08029,"Delta, Colorado",county,1
08013,"Boulder, Colorado",county,1
08007,"Archuleta, Colorado",county,1
46045,"Edmunds, South Dakota",county,1
48113,"Dallas, Texas",county,1
02122,"Kenai Peninsula, Alaska",county,1
00048,"Unknown County, Texas",county,1
00042,"Unknown County, Pennsylvania",county,1
21219,"Todd, Kentucky",county,1
30013,"Cascade, Montana",county,1
29213,"Taney, Missouri",county,1
29143,"New Madrid, Missouri",county,1
29095,"Jackson, Missouri",county,1
27163,"Washington, Minnesota",county,1
27109,"Olmsted, Minnesota",county,1
27037,"Dakota, Minnesota",county,1
16017,"Bonner, Idaho",county,1
26115,"Monroe, Michigan",county,1
26065,"Ingham, Michigan",county,1
26005,"Allegan, Michigan",county,1
25025,"Greater Boston, Massachusetts",county,1
24027,"Howard, Maryland",county,1
48279,"Lamb, Texas",county,1
48259,"Kendall, Texas",county,1
48209,"Hays, Texas",county,1
48203,"Harrison, Texas",county,1
48197,"Hardeman, Texas",county,1
21073,"Franklin, Kentucky",county,1
18133,"Putnam, Indiana",county,1
16081,"Teton, Idaho",county,1
48379,"Rains, Texas",county,1
48375,"Potter, Texas",county,1
13029,"Bryan, Georgia",county,1
12105,"Polk, Florida",county,1
12097,"Osceola, Florida",county,1
12091,"Okaloosa, Florida",county,1
48157,"Fort Bend, Texas",county,1
48143,"Erath, Texas",county,1
56029,"Park, Wyoming",county,1
56027,"Niobrara, Wyoming",county,1
56025,"Natrona, Wyoming",county,1
48417,"Shackelford, Texas",county,1
48415,"Scurry, Texas",county,1
00000,"Unknown County, Vermont",county,1
00000,"Region 9, Louisiana",county,1
00000,"Memphis-Shelby County Region, Tennessee",county,1
